,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6775,0.4887,0.3784,0.6631,0.6659,0.4113,0.4133,0.059
gbc,Gradient Boosting Classifier,0.675,0.4858,0.4005,0.6659,0.6646,0.4094,0.4115,0.251
rf,Random Forest Classifier,0.6712,0.4809,0.3569,0.6602,0.6514,0.3905,0.3939,0.053
et,Extra Trees Classifier,0.664,0.465,0.3742,0.6459,0.6461,0.3777,0.3808,0.055
lr,Logistic Regression,0.6458,0.4555,0.3759,0.6091,0.6164,0.3295,0.3358,0.433
ridge,Ridge Classifier,0.6449,0.0,0.2994,0.5845,0.609,0.3188,0.3287,0.004
lda,Linear Discriminant Analysis,0.6449,0.4606,0.4033,0.6302,0.6284,0.344,0.3475,0.005
dt,Decision Tree Classifier,0.6238,0.4073,0.3705,0.6242,0.6231,0.3369,0.3375,0.005
ada,Ada Boost Classifier,0.6225,0.3271,0.303,0.6037,0.601,0.3159,0.3288,0.028
svm,SVM - Linear Kernel,0.5675,0.0,0.2743,0.5324,0.497,0.1779,0.2081,0.011
knn,K Neighbors Classifier,0.5608,0.3921,0.2802,0.5475,0.5531,0.2081,0.2087,0.207
nb,Naive Bayes,0.2636,0.3766,0.4971,0.563,0.3109,0.0761,0.0936,0.004
qda,Quadratic Discriminant Analysis,0.0779,0.0,0.22,0.0061,0.0113,0.0,0.0,0.008
