,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.7757,0.2635,0.5556,0.7752,0.7729,0.5973,0.599,0.295
lightgbm,Light Gradient Boosting Machine,0.7681,0.2635,0.5093,0.7653,0.7649,0.5838,0.5848,0.057
rf,Random Forest Classifier,0.7647,0.2639,0.5166,0.7612,0.7587,0.5721,0.5753,0.064
lda,Linear Discriminant Analysis,0.7512,0.2537,0.4984,0.758,0.7479,0.5519,0.5587,0.006
et,Extra Trees Classifier,0.7508,0.2588,0.5451,0.7464,0.7451,0.5494,0.5528,0.057
ada,Ada Boost Classifier,0.7427,0.1909,0.4881,0.762,0.7185,0.5184,0.5604,0.029
ridge,Ridge Classifier,0.7169,0.0,0.4239,0.7133,0.6995,0.4711,0.4839,0.003
dt,Decision Tree Classifier,0.7046,0.2171,0.5125,0.7047,0.7028,0.4785,0.48,0.005
lr,Logistic Regression,0.6699,0.2365,0.4339,0.6685,0.652,0.3844,0.3928,0.442
knn,K Neighbors Classifier,0.5578,0.1929,0.2966,0.5453,0.5501,0.2065,0.2074,0.203
svm,SVM - Linear Kernel,0.548,0.0,0.2841,0.5038,0.4662,0.1362,0.1589,0.015
nb,Naive Bayes,0.5015,0.2209,0.4731,0.6258,0.533,0.2483,0.2646,0.004
qda,Quadratic Discriminant Analysis,0.4363,0.1557,0.2376,0.4311,0.4111,0.0049,0.0056,0.007
