,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6534,0,0.3439,0.6136,0.6253,0.3424,0.3477,0.407
ridge,Ridge Classifier,0.6458,0,0.3386,0.5868,0.6095,0.3159,0.3269,0.003
lda,Linear Discriminant Analysis,0.6399,0,0.416,0.6342,0.6211,0.3263,0.3318,0.003
gbc,Gradient Boosting Classifier,0.631,0,0.3719,0.6104,0.6146,0.3141,0.3175,0.144
rf,Random Forest Classifier,0.617,0,0.3538,0.6,0.6035,0.2923,0.2944,0.047
lightgbm,Light Gradient Boosting Machine,0.6115,0,0.3841,0.5978,0.6013,0.287,0.2884,0.045
et,Extra Trees Classifier,0.6035,0,0.3361,0.5864,0.5903,0.2682,0.27,0.047
nb,Naive Bayes,0.5836,0,0.3729,0.6445,0.5885,0.2953,0.3131,0.003
ada,Ada Boost Classifier,0.5731,0,0.3631,0.5995,0.5524,0.2513,0.2725,0.019
knn,K Neighbors Classifier,0.5726,0,0.3315,0.5619,0.5659,0.2254,0.2263,0.199
dt,Decision Tree Classifier,0.5595,0,0.3682,0.558,0.5584,0.2151,0.2152,0.003
svm,SVM - Linear Kernel,0.4846,0,0.2861,0.4878,0.447,0.1373,0.1635,0.007
qda,Quadratic Discriminant Analysis,0.471,0,0.3835,0.5131,0.471,0.2369,0.2522,0.01
