,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
rf,Random Forest Classifier,0.7765,0.5302,0.4765,0.7694,0.7685,0.592,0.5965,0.05
et,Extra Trees Classifier,0.7672,0.5306,0.4782,0.76,0.7601,0.5776,0.5816,0.049
gbc,Gradient Boosting Classifier,0.7609,0.5324,0.4373,0.7596,0.756,0.5662,0.5699,0.212
ada,Ada Boost Classifier,0.7583,0.3882,0.4644,0.7709,0.7345,0.5428,0.5813,0.023
lda,Linear Discriminant Analysis,0.7528,0.5242,0.5649,0.7648,0.7502,0.5532,0.5613,0.005
lightgbm,Light Gradient Boosting Machine,0.7473,0.5265,0.4585,0.7417,0.7424,0.5449,0.547,0.056
ridge,Ridge Classifier,0.727,0.0,0.416,0.7238,0.706,0.4826,0.5041,0.003
dt,Decision Tree Classifier,0.6902,0.4369,0.4262,0.6942,0.6909,0.4555,0.4562,0.004
lr,Logistic Regression,0.6746,0.4787,0.3956,0.6696,0.6592,0.3941,0.4056,0.476
knn,K Neighbors Classifier,0.5679,0.4045,0.2897,0.5585,0.5615,0.2252,0.2261,0.199
nb,Naive Bayes,0.5641,0.4693,0.6073,0.6695,0.5713,0.312,0.3396,0.003
svm,SVM - Linear Kernel,0.5218,0.0,0.2567,0.5113,0.4259,0.0933,0.1315,0.011
qda,Quadratic Discriminant Analysis,0.0838,0.0,0.22,0.007,0.013,0.0,0.0,0.008
