,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6691,0.3197,0.3444,0.653,0.6421,0.3784,0.3842,0.414
gbc,Gradient Boosting Classifier,0.6678,0.3204,0.3628,0.6576,0.6571,0.3938,0.3959,0.171
rf,Random Forest Classifier,0.6614,0.3174,0.368,0.6491,0.6504,0.382,0.3841,0.057
lightgbm,Light Gradient Boosting Machine,0.6547,0.3175,0.3604,0.6457,0.6468,0.3752,0.3767,0.05
et,Extra Trees Classifier,0.65,0.3137,0.3462,0.6353,0.6377,0.3604,0.3625,0.047
ridge,Ridge Classifier,0.6496,0.0,0.3139,0.5837,0.6086,0.3218,0.3358,0.003
lda,Linear Discriminant Analysis,0.6441,0.3046,0.3788,0.6382,0.6256,0.3365,0.3422,0.003
dt,Decision Tree Classifier,0.5921,0.2613,0.3648,0.5948,0.5916,0.2828,0.2839,0.004
knn,K Neighbors Classifier,0.5819,0.2721,0.3063,0.5714,0.5739,0.2493,0.2511,0.197
svm,SVM - Linear Kernel,0.5717,0.0,0.3485,0.5762,0.5421,0.2472,0.2728,0.007
qda,Quadratic Discriminant Analysis,0.5544,0.2926,0.4022,0.6623,0.5606,0.2759,0.3044,0.004
ada,Ada Boost Classifier,0.5447,0.2047,0.4288,0.5898,0.5338,0.2342,0.2554,0.021
nb,Naive Bayes,0.4295,0.2747,0.3124,0.6119,0.4565,0.1527,0.1705,0.003
