,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.7592,0.1635,0.501,0.7718,0.7358,0.5422,0.5806,0.335
dt,Decision Tree Classifier,0.7592,0.1635,0.501,0.7718,0.7358,0.5422,0.5806,0.003
rf,Random Forest Classifier,0.7592,0.1635,0.501,0.7718,0.7358,0.5422,0.5806,0.035
ada,Ada Boost Classifier,0.7592,0.1271,0.501,0.7718,0.7358,0.5422,0.5806,0.016
gbc,Gradient Boosting Classifier,0.7592,0.1635,0.501,0.7718,0.7358,0.5422,0.5806,0.068
lda,Linear Discriminant Analysis,0.7592,0.1635,0.501,0.7718,0.7358,0.5422,0.5806,0.003
et,Extra Trees Classifier,0.7592,0.1635,0.501,0.7718,0.7358,0.5422,0.5806,0.029
lightgbm,Light Gradient Boosting Machine,0.7592,0.1635,0.501,0.7718,0.7358,0.5422,0.5806,0.013
knn,K Neighbors Classifier,0.7291,0.1617,0.4702,0.7616,0.7014,0.5012,0.5456,0.203
ridge,Ridge Classifier,0.7152,0.0,0.3556,0.6439,0.6644,0.4394,0.4693,0.003
svm,SVM - Linear Kernel,0.6458,0.0,0.3552,0.6732,0.5861,0.3602,0.4166,0.006
nb,Naive Bayes,0.6115,0.1391,0.4946,0.6824,0.6247,0.3399,0.3561,0.003
