,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6877,0.0799,0.4417,0.6772,0.6751,0.4267,0.4293,0.203
rf,Random Forest Classifier,0.6767,0.0784,0.4127,0.6646,0.6629,0.405,0.4078,0.054
et,Extra Trees Classifier,0.6767,0.0777,0.4326,0.6614,0.6615,0.4036,0.4064,0.048
lightgbm,Light Gradient Boosting Machine,0.675,0.0783,0.4218,0.6613,0.6651,0.4081,0.41,0.053
lda,Linear Discriminant Analysis,0.6504,0.0773,0.4514,0.6351,0.6317,0.3488,0.3542,0.003
ridge,Ridge Classifier,0.6483,0,0.3338,0.5873,0.6105,0.3212,0.3337,0.003
lr,Logistic Regression,0.6454,0.0734,0.416,0.6187,0.6168,0.3274,0.3346,0.427
ada,Ada Boost Classifier,0.6356,0.0535,0.3393,0.6103,0.6145,0.334,0.343,0.02
dt,Decision Tree Classifier,0.6039,0.0667,0.4235,0.6073,0.6048,0.3019,0.3024,0.004
svm,SVM - Linear Kernel,0.5917,0,0.3448,0.592,0.5497,0.2494,0.2828,0.008
knn,K Neighbors Classifier,0.5612,0.0604,0.3157,0.5511,0.5548,0.2092,0.21,0.196
nb,Naive Bayes,0.463,0.0669,0.3676,0.6175,0.479,0.1745,0.1951,0.003
qda,Quadratic Discriminant Analysis,0.4427,0,0.4151,0.5295,0.444,0.2139,0.2391,0.004
