,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6843,0.318,0.3978,0.6744,0.673,0.4208,0.4227,0.205
lightgbm,Light Gradient Boosting Machine,0.6729,0.3138,0.3929,0.6597,0.662,0.4021,0.4039,0.054
rf,Random Forest Classifier,0.6716,0.3112,0.3554,0.6567,0.6558,0.3921,0.3949,0.053
et,Extra Trees Classifier,0.6661,0.3141,0.3561,0.6501,0.6518,0.3839,0.3864,0.05
ridge,Ridge Classifier,0.6407,0.0,0.3086,0.5816,0.6033,0.3048,0.3172,0.003
lr,Logistic Regression,0.6386,0.2956,0.3585,0.6026,0.6081,0.3094,0.3175,0.43
lda,Linear Discriminant Analysis,0.6344,0.3046,0.354,0.6136,0.6145,0.3173,0.3222,0.003
ada,Ada Boost Classifier,0.6251,0.2136,0.3169,0.598,0.6021,0.3152,0.3267,0.022
dt,Decision Tree Classifier,0.587,0.2575,0.3487,0.5904,0.5883,0.27,0.2703,0.004
qda,Quadratic Discriminant Analysis,0.5637,0.2927,0.4338,0.6572,0.5671,0.2791,0.3067,0.004
knn,K Neighbors Classifier,0.5561,0.2614,0.2899,0.5466,0.5496,0.1991,0.1999,0.194
svm,SVM - Linear Kernel,0.5493,0.0,0.2785,0.5412,0.4935,0.1507,0.1783,0.008
nb,Naive Bayes,0.4528,0.2772,0.3458,0.6093,0.4775,0.1594,0.1762,0.003
