,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6873,0.2426,0.3873,0.6787,0.6773,0.4263,0.4284,0.209
lightgbm,Light Gradient Boosting Machine,0.6754,0.2414,0.3829,0.6645,0.6656,0.4052,0.4073,0.055
rf,Random Forest Classifier,0.6661,0.238,0.3606,0.6507,0.6508,0.3815,0.3844,0.062
et,Extra Trees Classifier,0.6568,0.2373,0.3588,0.6409,0.6425,0.3646,0.367,0.049
lr,Logistic Regression,0.642,0.2288,0.3537,0.6282,0.6114,0.3086,0.3193,0.417
ridge,Ridge Classifier,0.6403,0.0,0.3127,0.5757,0.5984,0.2947,0.3097,0.003
lda,Linear Discriminant Analysis,0.634,0.2242,0.3713,0.6147,0.6139,0.3114,0.3177,0.003
ada,Ada Boost Classifier,0.6056,0.157,0.3254,0.5893,0.5856,0.2855,0.2969,0.024
dt,Decision Tree Classifier,0.5937,0.1983,0.3358,0.5979,0.5942,0.2812,0.2823,0.004
knn,K Neighbors Classifier,0.5704,0.2026,0.305,0.5586,0.5631,0.2218,0.2227,0.195
svm,SVM - Linear Kernel,0.5463,0.0,0.2992,0.5916,0.4873,0.1859,0.2361,0.008
qda,Quadratic Discriminant Analysis,0.5044,0.2204,0.399,0.6456,0.5255,0.2372,0.2586,0.003
nb,Naive Bayes,0.3695,0.2051,0.3156,0.6004,0.4165,0.1289,0.1504,0.003
