,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
ridge,Ridge Classifier,0.6348,0.0,0.3298,0.5735,0.5945,0.2877,0.3019,0.003
gbc,Gradient Boosting Classifier,0.6348,0.0,0.3396,0.6218,0.621,0.3223,0.3251,0.156
qda,Quadratic Discriminant Analysis,0.6318,0.0,0.4178,0.6271,0.6253,0.3301,0.3315,0.004
lda,Linear Discriminant Analysis,0.6289,0.0,0.3494,0.615,0.609,0.2989,0.3062,0.004
nb,Naive Bayes,0.6213,0.0,0.4089,0.6291,0.6192,0.322,0.3251,0.003
et,Extra Trees Classifier,0.609,0.0,0.3425,0.5919,0.5967,0.28,0.282,0.048
rf,Random Forest Classifier,0.6056,0.0,0.3507,0.589,0.5928,0.2709,0.2728,0.05
lightgbm,Light Gradient Boosting Machine,0.5984,0.0,0.3564,0.5872,0.5901,0.2664,0.2675,0.045
dt,Decision Tree Classifier,0.5531,0.0,0.316,0.554,0.5529,0.2066,0.2069,0.003
knn,K Neighbors Classifier,0.5434,0.0,0.312,0.5328,0.5368,0.1721,0.1727,0.2
lr,Logistic Regression,0.5358,0.0,0.2579,0.4427,0.428,0.0326,0.0442,0.417
ada,Ada Boost Classifier,0.4669,0.0,0.3091,0.5909,0.4724,0.1686,0.1898,0.02
svm,SVM - Linear Kernel,0.4354,0.0,0.2987,0.4927,0.4101,0.1159,0.1486,0.008
