,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6627,0.0,0.3852,0.6514,0.6514,0.3894,0.3917,0.176
lightgbm,Light Gradient Boosting Machine,0.6551,0.0,0.3941,0.6451,0.6466,0.3798,0.3817,0.051
rf,Random Forest Classifier,0.6538,0.0,0.3907,0.642,0.643,0.3731,0.3749,0.057
et,Extra Trees Classifier,0.653,0.0,0.3888,0.6398,0.6417,0.3713,0.3733,0.05
lda,Linear Discriminant Analysis,0.6403,0.0,0.3964,0.6301,0.6216,0.3348,0.3403,0.004
ridge,Ridge Classifier,0.6386,0.0,0.337,0.5715,0.5972,0.3053,0.3184,0.003
lr,Logistic Regression,0.6267,0.0,0.3745,0.581,0.5853,0.2803,0.2971,0.402
ada,Ada Boost Classifier,0.614,0.0,0.3603,0.6214,0.5987,0.3114,0.3247,0.021
dt,Decision Tree Classifier,0.592,0.0,0.4478,0.5884,0.5893,0.2808,0.2814,0.003
svm,SVM - Linear Kernel,0.5666,0.0,0.3225,0.5,0.4849,0.1618,0.1796,0.008
knn,K Neighbors Classifier,0.5628,0.0,0.3383,0.5549,0.5576,0.2206,0.2212,0.193
nb,Naive Bayes,0.4321,0.0,0.3767,0.6005,0.4499,0.1496,0.168,0.003
qda,Quadratic Discriminant Analysis,0.4311,0.0,0.3959,0.5243,0.4374,0.209,0.2305,0.004
