,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.683,0.3276,0.4199,0.6688,0.6713,0.4151,0.4169,0.237
lightgbm,Light Gradient Boosting Machine,0.6729,0.3226,0.4105,0.6603,0.6623,0.3974,0.3989,0.055
rf,Random Forest Classifier,0.6657,0.3192,0.3378,0.6398,0.646,0.3731,0.3765,0.06
ridge,Ridge Classifier,0.6564,0.0,0.3159,0.5983,0.6209,0.331,0.342,0.003
lr,Logistic Regression,0.6551,0.3092,0.3883,0.6118,0.6257,0.3377,0.3443,0.44
lda,Linear Discriminant Analysis,0.6551,0.315,0.4382,0.6418,0.6382,0.3536,0.3581,0.004
et,Extra Trees Classifier,0.6543,0.3128,0.3626,0.6359,0.6393,0.3539,0.3561,0.05
dt,Decision Tree Classifier,0.6128,0.2644,0.3791,0.6115,0.6112,0.3057,0.3063,0.004
ada,Ada Boost Classifier,0.6085,0.211,0.3284,0.5872,0.5879,0.2878,0.2969,0.024
svm,SVM - Linear Kernel,0.5556,0.0,0.2845,0.5447,0.5173,0.2023,0.2272,0.01
knn,K Neighbors Classifier,0.5553,0.2565,0.2887,0.5481,0.5497,0.1947,0.1959,0.198
nb,Naive Bayes,0.3051,0.2581,0.4351,0.5782,0.3472,0.0849,0.1002,0.004
qda,Quadratic Discriminant Analysis,0.0728,0.0,0.23,0.0053,0.0099,0.0,0.0,0.008
