,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.3174,0.0,0.1097,0.2413,0.2462,0.1474,0.1605,0.501
ridge,Ridge Classifier,0.3123,0.0,0.1014,0.2065,0.2196,0.1313,0.1528,0.003
lda,Linear Discriminant Analysis,0.3106,0.0,0.1047,0.216,0.2296,0.1356,0.1506,0.003
gbc,Gradient Boosting Classifier,0.3005,0.0,0.1087,0.2635,0.2657,0.1513,0.1561,0.812
et,Extra Trees Classifier,0.2954,0.0,0.1179,0.2571,0.262,0.1426,0.1462,0.059
lightgbm,Light Gradient Boosting Machine,0.2941,0.0,0.1141,0.249,0.2633,0.144,0.1463,0.194
rf,Random Forest Classifier,0.2861,0.0,0.1072,0.2482,0.2504,0.1301,0.1338,0.077
ada,Ada Boost Classifier,0.2561,0.0,0.087,0.1577,0.1756,0.0829,0.0948,0.033
nb,Naive Bayes,0.2434,0.0,0.1,0.2149,0.2032,0.1019,0.1066,0.003
knn,K Neighbors Classifier,0.2268,0.0,0.0918,0.2083,0.2105,0.0772,0.0781,0.193
qda,Quadratic Discriminant Analysis,0.2253,0.0,0.0846,0.1991,0.1813,0.0974,0.1044,0.007
dt,Decision Tree Classifier,0.1938,0.0,0.0885,0.1957,0.193,0.0597,0.0599,0.005
svm,SVM - Linear Kernel,0.1752,0.0,0.0813,0.1809,0.103,0.0321,0.0432,0.014
