,name,rating,rating_top,ratings_count,reviews_count,suggestions_count,days,metacritic,added,genre,genres,Label
0,Grand Theft Auto V,4.0,5,5228,5290,404,3028,97,16261,Adventure,"0,0,1,1,0",Adventure
6,Counter-Strike: Global Offensive,4.0,4,2550,2571,592,3420,81,12093,Shooter,"0,1,0,1,0",Shooter
10,Life is Strange,4.0,5,2926,2954,540,2529,83,11836,Adventure,"0,0,1,0,0",Adventure
11,Red Dead Redemption 2,5.0,5,3636,3708,622,1163,96,11077,Adventure,"0,0,1,1,0",Adventure
14,Limbo,4.0,4,2619,2649,189,4182,88,10691,Indie,"0,0,1,0,0",Indie
20,Grand Theft Auto IV,4.0,4,2251,2266,500,4995,95,9664,Adventure,"0,0,1,1,0",Adventure
22,Horizon Zero Dawn,4.0,5,2895,2937,632,1768,89,9529,Adventure,"0,0,1,1,1",Adventure
23,God of War,5.0,5,3413,3476,600,1352,94,9483,Adventure,"0,0,1,1,0",Adventure
25,Metro 2033,4.0,4,1678,1682,589,4309,79,9213,Shooter,"0,1,0,1,0",Shooter
26,Metal Gear Solid V: The Phantom Pain,4.0,5,2050,2062,510,2314,91,9194,Shooter,"0,1,0,1,0",Shooter
28,The Walking Dead: Season 1,4.0,5,1901,1912,639,3540,92,8990,Adventure,"0,0,1,0,0",Adventure
29,Rise of the Tomb Raider,4.0,4,2077,2090,668,2244,86,8937,Action,"0,0,0,1,0",Action
31,The Witcher 2: Assassins of Kings Enhanced Edition,4.0,4,1649,1658,682,3547,88,8572,RPG,"0,0,0,0,1",Strategy
32,Batman: Arkham Knight,4.0,4,2022,2034,660,2385,81,8572,Action,"0,0,0,1,0",Action
34,Hitman,4.0,4,1607,1612,562,2122,83,8363,Shooter,"0,1,0,1,0",Shooter
40,Red Faction: Armageddon,3.0,3,329,329,681,3861,75,3457,Shooter,"0,1,0,1,0",Shooter
41,Deadlight,4.0,4,461,468,523,3501,78,3432,Platformer,"0,0,0,1,0",Action
42,Outland,3.0,3,297,299,411,3903,83,3431,Indie,"0,0,1,1,0",Adventure
46,Alien Swarm,3.0,4,587,589,561,4184,77,3415,Shooter,"0,1,0,1,0",Shooter
50,Stories: The Path of Destinies,3.0,4,451,452,531,2091,74,3389,Platformer,"0,0,0,1,1",Action
52,Drawful 2,3.0,4,212,213,105,2021,74,3367,Casual,"0,0,0,0,0",Casual
56,Awesomenauts,3.0,3,349,350,414,3532,78,3351,Platformer,"0,0,0,1,0",Strategy
57,Assassin's Creed Revelations,4.0,4,1016,1026,622,3700,80,3347,Adventure,"0,0,1,1,0",Adventure
62,Mafia II: Definitive Edition,4.0,4,259,262,584,592,65,3317,Adventure,"0,0,1,1,0",Adventure
63,Shadow Warrior (2013),4.0,4,469,473,611,3020,73,3312,Shooter,"0,1,0,1,0",Shooter
65,Yakuza Kiwami,4.0,4,583,595,274,2172,83,3302,Adventure,"0,0,1,1,1",Adventure
66,Gears 5,4.0,4,640,653,683,844,83,3295,Shooter,"0,1,0,1,0",Shooter
67,Shadowrun: Dragonfall - Director's Cut,4.0,4,276,279,473,2663,87,3292,Indie,"0,0,1,0,1",Indie
70,Day of Defeat: Source,3.0,4,291,294,282,5941,80,3258,Action,"0,0,0,1,0",Action
82,Mass Effect: Andromeda,3.0,3,920,933,260,1747,73,3194,Action,"0,0,0,1,1",Action
83,Viking: Battle for Asgard,2.0,3,242,243,655,5030,66,3194,Adventure,"0,0,1,1,1",Adventure
86,Street Fighter V,4.0,4,393,398,576,2147,74,3178,Action,"0,0,0,1,0",Action
