,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6073,0.0,0.331,0.5704,0.5813,0.5334,0.5366,0.937
ridge,Ridge Classifier,0.5997,0.0,0.3053,0.5092,0.545,0.5235,0.5298,0.003
rf,Random Forest Classifier,0.5874,0.0,0.3397,0.5502,0.5636,0.5107,0.5126,0.068
lightgbm,Light Gradient Boosting Machine,0.5853,0.0,0.3265,0.5542,0.5625,0.5058,0.5083,0.187
et,Extra Trees Classifier,0.5793,0.0,0.3271,0.545,0.5569,0.5011,0.503,0.065
lda,Linear Discriminant Analysis,0.5717,0.0,0.3836,0.5256,0.5312,0.5016,0.5093,0.004
dt,Decision Tree Classifier,0.4968,0.0,0.2975,0.5094,0.4997,0.411,0.4118,0.005
nb,Naive Bayes,0.4469,0.0,0.3674,0.4144,0.3293,0.383,0.4257,0.004
ada,Ada Boost Classifier,0.3973,0.0,0.1679,0.338,0.3315,0.2674,0.3061,0.035
lr,Logistic Regression,0.3589,0.0,0.1209,0.2835,0.2814,0.194,0.2131,0.556
knn,K Neighbors Classifier,0.2175,0.0,0.0855,0.1982,0.2018,0.0644,0.0651,0.202
svm,SVM - Linear Kernel,0.1455,0.0,0.0722,0.1059,0.0742,0.0187,0.0267,0.018
