,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6387,0.7957,0.4212,0.6303,0.6272,0.4172,0.4227,0.383
lightgbm,Light Gradient Boosting Machine,0.6209,0.7903,0.3847,0.6089,0.6108,0.3938,0.3964,0.066
rf,Random Forest Classifier,0.6023,0.7616,0.3264,0.5836,0.5813,0.3473,0.3557,0.07
ridge,Ridge Classifier,0.5834,0.0,0.2993,0.5602,0.5429,0.2997,0.3146,0.004
lda,Linear Discriminant Analysis,0.5819,0.7554,0.3637,0.576,0.5653,0.3186,0.3279,0.01
et,Extra Trees Classifier,0.5622,0.7298,0.3085,0.5448,0.5456,0.2896,0.2942,0.066
lr,Logistic Regression,0.5596,0.7302,0.3202,0.5596,0.5266,0.2582,0.2793,0.556
dt,Decision Tree Classifier,0.5426,0.6429,0.3866,0.5408,0.5399,0.2872,0.2882,0.007
knn,K Neighbors Classifier,0.4809,0.6243,0.2745,0.4744,0.4729,0.1736,0.1758,0.218
svm,SVM - Linear Kernel,0.4485,0.0,0.2647,0.4931,0.3709,0.1122,0.1559,0.022
ada,Ada Boost Classifier,0.4109,0.6004,0.3348,0.4872,0.4009,0.1674,0.1931,0.034
qda,Quadratic Discriminant Analysis,0.291,0.5017,0.2496,0.3018,0.2442,0.0043,0.0042,0.007
nb,Naive Bayes,0.2535,0.5937,0.4095,0.4737,0.3105,0.0917,0.1055,0.006
