,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.5621,0.7543,0.3265,0.5595,0.5597,0.3198,0.3205,0.285
lightgbm,Light Gradient Boosting Machine,0.5533,0.7424,0.3247,0.551,0.5513,0.3093,0.3098,0.059
et,Extra Trees Classifier,0.5366,0.7249,0.3148,0.5306,0.5323,0.2793,0.2798,0.069
rf,Random Forest Classifier,0.5364,0.7327,0.3072,0.5297,0.5321,0.2785,0.2789,0.081
lda,Linear Discriminant Analysis,0.5049,0.6745,0.3142,0.5071,0.4715,0.2076,0.2208,0.004
ridge,Ridge Classifier,0.5045,0.0,0.2556,0.4092,0.4457,0.1834,0.1952,0.003
lr,Logistic Regression,0.4994,0.6741,0.2995,0.5028,0.4903,0.2119,0.2176,0.462
knn,K Neighbors Classifier,0.4924,0.6583,0.2941,0.4986,0.4933,0.2243,0.2253,0.195
ada,Ada Boost Classifier,0.49,0.6185,0.2791,0.4085,0.4395,0.1739,0.1884,0.035
dt,Decision Tree Classifier,0.4779,0.6,0.2847,0.4769,0.4768,0.1963,0.1966,0.005
svm,SVM - Linear Kernel,0.4089,0.0,0.2188,0.3745,0.2989,0.0467,0.0549,0.009
qda,Quadratic Discriminant Analysis,0.3801,0.6608,0.3341,0.5523,0.3702,0.1544,0.187,0.004
nb,Naive Bayes,0.376,0.6605,0.3305,0.5502,0.3675,0.1506,0.1821,0.003
