,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lda,Linear Discriminant Analysis,0.0609,0.0,0.0373,0.0328,0.0339,0.0241,0.0253,0.004
ridge,Ridge Classifier,0.0571,0.0,0.0231,0.0158,0.0205,0.0128,0.0143,0.003
ada,Ada Boost Classifier,0.0564,0.0,0.0231,0.0057,0.0102,0.013,0.0179,0.09
lr,Logistic Regression,0.051,0.0,0.0346,0.0198,0.0229,0.0104,0.0113,3.084
nb,Naive Bayes,0.0439,0.0,0.0409,0.0359,0.0285,0.016,0.0167,0.005
dt,Decision Tree Classifier,0.0428,0.0,0.038,0.0422,0.041,0.0147,0.0147,0.005
gbc,Gradient Boosting Classifier,0.0425,0.0,0.0366,0.0393,0.0388,0.0129,0.0129,6.029
rf,Random Forest Classifier,0.0377,0.0,0.0277,0.0342,0.0348,0.008,0.0081,0.133
lightgbm,Light Gradient Boosting Machine,0.0357,0.0,0.0198,0.0225,0.0198,0.0023,0.0018,0.575
et,Extra Trees Classifier,0.0347,0.0,0.0254,0.033,0.0324,0.0056,0.0056,0.205
svm,SVM - Linear Kernel,0.033,0.0,0.0221,0.0071,0.0063,0.0024,0.0059,0.042
knn,K Neighbors Classifier,0.0214,0.0,0.0214,0.0254,0.0201,-0.0006,-0.0006,0.196
