,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6763,0.2302,0.3094,0.618,0.6386,0.3001,0.3142,0.416
lda,Linear Discriminant Analysis,0.6736,0.2294,0.3452,0.6385,0.6398,0.2988,0.313,0.003
ridge,Ridge Classifier,0.6719,0,0.3013,0.6109,0.6267,0.2743,0.2964,0.003
gbc,Gradient Boosting Classifier,0.6654,0.2232,0.3324,0.6378,0.6425,0.304,0.3101,0.167
lightgbm,Light Gradient Boosting Machine,0.6457,0.2192,0.3226,0.6174,0.6277,0.2755,0.2787,0.05
qda,Quadratic Discriminant Analysis,0.6447,0.2254,0.4019,0.6526,0.6472,0.3286,0.3296,0.003
rf,Random Forest Classifier,0.6345,0.2164,0.2998,0.6044,0.6145,0.2487,0.2519,0.058
nb,Naive Bayes,0.63,0.2257,0.3649,0.6491,0.6364,0.3132,0.3159,0.003
et,Extra Trees Classifier,0.6287,0.2143,0.2939,0.5958,0.6079,0.2342,0.2377,0.049
knn,K Neighbors Classifier,0.609,0.1952,0.2966,0.5848,0.5954,0.2143,0.2157,0.193
svm,SVM - Linear Kernel,0.5764,0,0.2604,0.4441,0.4766,0.0503,0.0642,0.008
dt,Decision Tree Classifier,0.5729,0.1815,0.2951,0.5761,0.5743,0.1835,0.1837,0.004
ada,Ada Boost Classifier,0.4416,0.144,0.3559,0.5312,0.4613,0.073,0.076,0.023
