,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
ridge,Ridge Classifier,0.6794,0.0,0.3073,0.6147,0.6345,0.2998,0.3207,0.003
lda,Linear Discriminant Analysis,0.6756,0.2364,0.3538,0.6514,0.6475,0.3175,0.3289,0.003
gbc,Gradient Boosting Classifier,0.6725,0.238,0.3362,0.6435,0.6533,0.3355,0.3394,0.184
lightgbm,Light Gradient Boosting Machine,0.6573,0.2346,0.331,0.6332,0.6426,0.3138,0.3162,0.051
et,Extra Trees Classifier,0.6566,0.2305,0.3423,0.6293,0.6393,0.3069,0.3101,0.054
rf,Random Forest Classifier,0.6525,0.2325,0.3286,0.6249,0.6352,0.2991,0.3018,0.058
lr,Logistic Regression,0.6416,0.2299,0.2651,0.526,0.5477,0.1514,0.1779,0.459
qda,Quadratic Discriminant Analysis,0.6396,0.2305,0.4231,0.668,0.6484,0.3455,0.3502,0.004
nb,Naive Bayes,0.6355,0.2299,0.3857,0.6721,0.6473,0.3454,0.3511,0.004
ada,Ada Boost Classifier,0.6103,0.1599,0.3154,0.6329,0.6093,0.2968,0.3093,0.025
knn,K Neighbors Classifier,0.5811,0.1953,0.2755,0.5538,0.5664,0.1656,0.1665,0.204
dt,Decision Tree Classifier,0.5757,0.1833,0.3316,0.5844,0.5793,0.2033,0.2037,0.004
svm,SVM - Linear Kernel,0.5294,0.0,0.2498,0.5268,0.4405,0.0505,0.0733,0.01
