,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
ridge,Ridge Classifier,0.6913,0,0.3198,0.6323,0.6502,0.3233,0.3441,0.003
gbc,Gradient Boosting Classifier,0.6909,0.1588,0.3459,0.6768,0.6735,0.3644,0.3697,0.192
rf,Random Forest Classifier,0.6855,0.1602,0.3439,0.6603,0.6648,0.3518,0.3564,0.059
lda,Linear Discriminant Analysis,0.6844,0.1525,0.3781,0.6551,0.6568,0.3334,0.3457,0.003
et,Extra Trees Classifier,0.6825,0.1567,0.3536,0.6606,0.6645,0.348,0.3524,0.054
lightgbm,Light Gradient Boosting Machine,0.6691,0.1546,0.3453,0.6441,0.6527,0.3258,0.3288,0.054
lr,Logistic Regression,0.6488,0.1434,0.2859,0.5866,0.5886,0.1941,0.2283,0.418
nb,Naive Bayes,0.637,0.1524,0.3718,0.6809,0.6511,0.3491,0.3562,0.003
ada,Ada Boost Classifier,0.6228,0.1008,0.3206,0.6215,0.6195,0.2826,0.2865,0.021
svm,SVM - Linear Kernel,0.6094,0,0.2506,0.5,0.4998,0.0408,0.0529,0.009
dt,Decision Tree Classifier,0.6041,0.128,0.3259,0.6052,0.6042,0.24,0.2404,0.004
knn,K Neighbors Classifier,0.5987,0.1317,0.3014,0.5802,0.5882,0.2025,0.2034,0.194
qda,Quadratic Discriminant Analysis,0.5049,0,0.3667,0.5377,0.5128,0.2687,0.2763,0.004
