,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6884,0.2423,0.3819,0.6837,0.6801,0.4315,0.4339,0.174
rf,Random Forest Classifier,0.6783,0.2363,0.4127,0.6717,0.6661,0.4078,0.4113,0.049
lightgbm,Light Gradient Boosting Machine,0.6741,0.2396,0.3672,0.663,0.6643,0.4026,0.405,0.053
et,Extra Trees Classifier,0.6693,0.2344,0.3861,0.6582,0.656,0.3894,0.3923,0.041
lr,Logistic Regression,0.646,0.2272,0.4133,0.59,0.613,0.3201,0.3283,0.395
lda,Linear Discriminant Analysis,0.6423,0.2291,0.3911,0.6281,0.6235,0.3285,0.3349,0.003
ridge,Ridge Classifier,0.6381,0.0,0.3233,0.5746,0.598,0.2939,0.3064,0.003
ada,Ada Boost Classifier,0.6217,0.1637,0.3408,0.6417,0.6092,0.3294,0.3467,0.019
dt,Decision Tree Classifier,0.5979,0.2036,0.36,0.6025,0.5987,0.2881,0.2891,0.004
qda,Quadratic Discriminant Analysis,0.5762,0.2222,0.3977,0.6744,0.5764,0.2998,0.3335,0.003
knn,K Neighbors Classifier,0.5646,0.201,0.3138,0.5545,0.557,0.2105,0.2119,0.2
svm,SVM - Linear Kernel,0.5164,0.0,0.3115,0.5207,0.4472,0.1554,0.2034,0.008
nb,Naive Bayes,0.4931,0.2071,0.2781,0.6392,0.5067,0.2019,0.2279,0.003
