,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6391,0.0,0.3729,0.6307,0.6287,0.3395,0.3417,0.147
ridge,Ridge Classifier,0.6365,0.0,0.3458,0.5795,0.6023,0.3017,0.3107,0.003
rf,Random Forest Classifier,0.63,0.0,0.3856,0.619,0.6194,0.3202,0.322,0.055
lda,Linear Discriminant Analysis,0.6257,0.0,0.3227,0.615,0.6106,0.3061,0.31,0.003
lightgbm,Light Gradient Boosting Machine,0.623,0.0,0.3748,0.608,0.6129,0.3107,0.3121,0.049
ada,Ada Boost Classifier,0.6182,0.0,0.3484,0.5904,0.5948,0.2986,0.3093,0.018
et,Extra Trees Classifier,0.6177,0.0,0.3734,0.6087,0.6067,0.2964,0.2979,0.045
lr,Logistic Regression,0.5957,0.0,0.3248,0.5503,0.5653,0.2261,0.232,0.4
qda,Quadratic Discriminant Analysis,0.5887,0.0,0.3495,0.6556,0.5818,0.2951,0.3266,0.005
nb,Naive Bayes,0.5758,0.0,0.288,0.6437,0.5702,0.2763,0.3051,0.003
knn,K Neighbors Classifier,0.5646,0.0,0.343,0.5551,0.5584,0.2124,0.2131,0.214
dt,Decision Tree Classifier,0.5646,0.0,0.3267,0.5661,0.5643,0.2276,0.2282,0.004
svm,SVM - Linear Kernel,0.5023,0.0,0.2844,0.5349,0.4463,0.1342,0.1674,0.006
