,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
rf,Random Forest Classifier,0.6418,0.0,0.3737,0.6216,0.6269,0.3461,0.3485,0.056
gbc,Gradient Boosting Classifier,0.6413,0.0,0.3746,0.6214,0.6249,0.3454,0.3482,0.154
ridge,Ridge Classifier,0.6321,0.0,0.3334,0.568,0.592,0.2934,0.3063,0.003
lightgbm,Light Gradient Boosting Machine,0.6295,0.0,0.3609,0.6135,0.6179,0.3287,0.3307,0.046
et,Extra Trees Classifier,0.6289,0.0,0.3613,0.6067,0.6143,0.3233,0.3254,0.043
lda,Linear Discriminant Analysis,0.6257,0.0,0.409,0.6084,0.6076,0.3103,0.3156,0.003
ada,Ada Boost Classifier,0.623,0.0,0.3315,0.6044,0.5996,0.3048,0.3098,0.019
lr,Logistic Regression,0.5817,0.0,0.3313,0.5277,0.5437,0.1972,0.2052,0.418
qda,Quadratic Discriminant Analysis,0.5791,0.0,0.4343,0.6355,0.5767,0.2871,0.3089,0.004
nb,Naive Bayes,0.5641,0.0,0.3991,0.6281,0.5626,0.2672,0.2895,0.003
knn,K Neighbors Classifier,0.5539,0.0,0.3075,0.5438,0.5476,0.2062,0.2071,0.201
dt,Decision Tree Classifier,0.5475,0.0,0.3039,0.5515,0.5482,0.2108,0.2115,0.003
svm,SVM - Linear Kernel,0.4614,0.0,0.306,0.4577,0.4043,0.1268,0.1403,0.005
