,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.5346,0.7248,0.3105,0.5284,0.529,0.2732,0.2744,0.27
lightgbm,Light Gradient Boosting Machine,0.5219,0.7074,0.3131,0.5149,0.517,0.2571,0.2577,0.066
rf,Random Forest Classifier,0.5065,0.6914,0.2907,0.4962,0.4998,0.2307,0.2314,0.079
et,Extra Trees Classifier,0.5049,0.6922,0.295,0.4959,0.499,0.2308,0.2314,0.065
lr,Logistic Regression,0.4878,0.67,0.2511,0.3961,0.4311,0.1658,0.181,0.438
knn,K Neighbors Classifier,0.4869,0.6591,0.2959,0.4938,0.4881,0.2202,0.2212,0.189
lda,Linear Discriminant Analysis,0.485,0.6352,0.292,0.5003,0.465,0.1878,0.1999,0.004
ridge,Ridge Classifier,0.4834,0.0,0.2509,0.4685,0.443,0.1603,0.1685,0.003
dt,Decision Tree Classifier,0.4496,0.5809,0.2832,0.451,0.4498,0.157,0.1572,0.004
svm,SVM - Linear Kernel,0.3896,0.0,0.232,0.3958,0.2937,0.0723,0.0925,0.009
ada,Ada Boost Classifier,0.35,0.5419,0.2667,0.417,0.3539,0.0877,0.0928,0.031
nb,Naive Bayes,0.3426,0.6363,0.2993,0.5035,0.311,0.1138,0.1447,0.003
qda,Quadratic Discriminant Analysis,0.3366,0.6378,0.2966,0.4999,0.303,0.1078,0.1391,0.003
