,name,rating,rating_top,ratings_count,reviews_count,suggestions_count,days,metacritic,added,genre,genres,Label
0,Grand Theft Auto V,5.0,5,5338,5401,403,3028,97,16547,Adventure,"0,0,1,1,0,0,0",6
6,Left 4 Dead 2,5.0,4,2558,2569,591,4428,89,12325,Shooter,"0,1,0,1,0,0,0",5
10,Life is Strange,5.0,5,2965,2994,532,2529,83,12032,Adventure,"0,0,1,0,0,0,0",5
11,Red Dead Redemption 2,6.0,5,3718,3791,616,1163,96,11349,Adventure,"0,0,1,1,0,0,0",6
14,Limbo,5.0,4,2658,2688,187,4182,88,10849,Indie,"0,0,1,0,0,1,0",5
20,Grand Theft Auto IV,5.0,4,2294,2309,497,4995,95,9819,Adventure,"0,0,1,1,0,0,0",5
22,Horizon Zero Dawn,5.0,5,2955,2998,634,1768,89,9742,Adventure,"0,0,1,1,1,0,0",5
23,God of War,6.0,5,3472,3535,595,1352,94,9676,Adventure,"0,0,1,1,0,0,0",6
25,Metro 2033,5.0,4,1716,1720,588,4309,79,9373,Shooter,"0,1,0,1,0,0,0",5
26,Metal Gear Solid V: The Phantom Pain,5.0,5,2073,2085,511,2314,91,9339,Shooter,"0,1,0,1,0,0,0",5
28,Rise of the Tomb Raider,5.0,4,2115,2128,669,2244,86,9119,Action,"0,0,0,1,0,0,0",5
29,The Walking Dead: Season 1,5.0,5,1930,1942,638,3540,92,9115,Adventure,"0,0,1,0,0,0,0",6
31,Batman: Arkham Knight,5.0,4,2052,2066,659,2385,81,8750,Action,"0,0,0,1,0,0,0",5
32,The Witcher 2: Assassins of Kings Enhanced Edition,5.0,4,1681,1690,690,3547,88,8734,RPG,"0,0,0,0,1,0,0",5
34,Hitman,5.0,4,1628,1633,564,2122,83,8502,Shooter,"0,1,0,1,0,0,0",5
40,Uncharted: The Lost Legacy,5.0,4,1057,1069,439,1593,85,3708,Adventure,"0,0,1,1,0,0,0",5
41,F.E.A.R. 2: Project Origin,5.0,4,524,528,601,4708,79,3698,Shooter,"0,1,0,1,0,0,0",5
42,Sea of Thieves,4.0,4,720,730,437,1383,68,3687,Massively Multiplayer,"0,0,1,1,0,0,0",4
46,STAR WARS Battlefront 2 (2005),5.0,4,654,660,522,5907,78,3649,Shooter,"0,1,0,1,0,0,0",5
50,Rage,4.0,4,661,667,697,3743,79,3627,Racing,"1,1,0,1,0,0,0",5
52,World of Goo,5.0,4,657,659,154,4828,90,3621,Educational,"0,0,0,0,0,1,1",5
56,Machinarium,5.0,4,682,686,516,4460,85,3598,Family,"0,0,1,0,0,1,0",5
57,PlanetSide 2,4.0,3,411,411,593,3329,84,3593,Shooter,"0,1,0,1,0,0,0",5
62,Hitman 2: Silent Assassin,5.0,4,507,509,413,7033,87,3527,Action,"0,0,0,1,0,0,0",5
63,Red Faction: Armageddon,4.0,3,332,332,681,3861,75,3502,Shooter,"0,1,0,1,0,0,0",4
65,God of War III Remastered,5.0,4,880,887,612,2363,81,3480,Adventure,"0,0,1,1,0,0,0",5
66,Call of Duty: World at War,5.0,4,881,886,628,4799,83,3476,Shooter,"0,1,0,1,0,0,0",5
67,Never Alone,4.0,4,501,507,288,2601,70,3475,Casual,"0,0,1,0,0,0,0",4
70,Outland,3.0,3,301,303,417,3903,83,3471,Indie,"0,0,1,1,0,0,0",5
82,Marvel's Spider-Man - The Heist,5.0,4,26,26,320,1166,76,47,Adventure,"0,0,1,1,0,0,0",4
83,Fallout 4 - Far Harbor,5.0,4,24,24,475,2053,77,47,Shooter,"0,1,0,1,1,0,0",5
86,Dragon Age: Inquisition - Trespasser,5.0,5,21,21,283,2307,77,47,RPG,"0,0,0,0,1,0,0",5
87,Don't Starve: Shipwrecked,5.0,4,18,18,260,2223,81,46,Adventure,"0,0,1,1,0,0,0",5
89,Say No! More,5.0,5,12,12,164,267,67,46,Casual,"0,0,0,0,0,0,0",3
93,Shadow Fight 2,5.0,4,27,27,265,2938,55,45,Action,"0,0,0,1,1,0,0",2
96,The Shattering,4.0,3,10,10,195,621,68,45,Indie,"0,0,1,0,0,0,0",3
99,Time Loader,5.0,4,8,9,302,60,79,44,Racing,"1,0,1,1,0,1,0",5
101,Dead Block,4.0,3,11,11,543,3844,56,43,Strategy,"0,0,0,1,0,0,1",3
105,The Sims 3: Ambitions,5.0,4,19,19,545,4232,74,41,Strategy,"0,0,0,0,0,0,1",4
106,Strangeland,5.0,5,7,7,479,221,74,40,Adventure,"0,0,1,0,0,0,0",5
107,Pascal's Wager: Definitive Edition,4.0,3,6,6,659,296,64,40,Adventure,"0,0,1,1,1,0,0",3
110,Astalon: Tears of the Earth,6.0,5,5,6,164,212,83,40,Adventure,"0,0,1,1,0,0,0",6
115,The Coma: Cutting Class,5.0,4,6,6,242,2266,69,36,Indie,"0,0,1,0,0,0,0",3
117,Destiny: The Taken King,5.0,4,9,9,544,2300,88,35,Shooter,"0,1,0,1,1,0,0",5
127,Tahira: Echoes of the Astral Empire,3.0,4,6,7,381,1950,66,30,Indie,"0,0,1,0,1,0,1",3
131,Framed 2,5.0,4,10,10,146,1662,89,29,Adventure,"0,0,1,0,0,1,0",5
133,Chocobo's Mystery Dungeon EVERY BUDDY!,5.0,4,6,6,175,1018,71,29,Adventure,"0,0,1,0,0,0,0",3
136,Pro Cycling Manager 2017,3.0,1,6,6,583,1661,71,27,Racing,"1,0,0,0,0,0,0",3
139,Junk Jack,5.0,5,6,6,233,3047,85,26,Educational,"0,0,1,1,0,0,0",5
140,Forza Horizon 3 Hot Wheels,4.0,4,9,9,316,1698,88,26,Racing,"1,0,0,0,0,0,0",5
144,Golem,4.0,4,6,6,226,785,59,23,Indie,"0,0,1,0,0,0,0",3
145,Assassin’s Creed Odyssey – Legacy of the First Blade,5.0,4,13,13,437,1124,67,22,Adventure,"0,0,1,1,1,0,0",3
147,Guild Wars: Eye of the North,5.0,4,6,6,496,4103,79,20,Massively Multiplayer,"0,0,0,1,1,0,0",5
148,The Sims 3: Showtime,5.0,4,12,12,540,3588,67,20,Strategy,"0,0,0,0,0,0,1",3
149,DEAD RISING 2: CASE WEST,4.0,4,7,7,700,4024,74,19,Adventure,"0,0,1,1,0,0,0",5
154,Gears POP!,4.0,3,11,11,76,863,64,17,Strategy,"0,0,0,1,0,0,1",3
156,Mafia II DLC: Jimmy's Vendetta,2.0,1,8,8,0,4041,65,15,Shooter,"0,1,0,1,0,0,0",2
158,Minion Rush,5.0,4,8,8,281,3124,75,13,Casual,"0,0,0,0,0,0,0",5
160,Assassin's Creed Revelations,5.0,4,1027,1037,616,3700,80,3407,Adventure,"0,0,1,1,0,0,0",5
165,Renegade Ops,4.0,4,279,281,588,3763,76,3399,Shooter,"0,1,0,1,0,0,0",4
167,System Shock 2,5.0,5,343,348,417,8179,92,3392,Shooter,"0,1,0,1,1,0,0",5
170,Crash Bandicoot N. Sane Trilogy,5.0,4,458,467,530,1646,81,3369,Platformer,"0,0,0,1,0,0,0",5
171,Shadowrun: Dragonfall - Director's Cut,5.0,4,282,285,474,2663,87,3349,Indie,"0,0,1,0,1,0,1",5
175,The LEGO NINJAGO Movie Video Game,4.0,4,181,181,400,1562,70,3332,Adventure,"0,0,1,1,0,0,0",4
180,Gris,5.0,5,769,789,278,1115,82,3309,Indie,"0,0,1,0,0,1,0",5
183,Galactic Civilizations II: Ultimate Edition,3.0,1,201,201,461,3683,92,3290,Strategy,"0,0,0,0,0,0,1",5
191,F1 2015,3.0,3,225,225,404,2368,61,3233,Racing,"1,0,0,0,0,0,0",3
192,Viking: Battle for Asgard,3.0,3,244,245,659,5030,66,3233,Adventure,"0,0,1,1,1,0,0",4
193,Injustice 2,5.0,4,763,771,405,1698,88,3229,Fighting,"0,0,0,0,0,0,0",5
197,Stellaris,5.0,4,503,513,386,2064,78,3192,Strategy,"0,0,0,0,0,0,1",5
198,Final Fantasy VII,5.0,5,781,786,354,9101,83,3187,Adventure,"0,0,1,1,1,0,0",5
204,Star Wars Jedi Knight: Jedi Academy,5.0,5,501,506,520,6682,81,3168,Shooter,"0,1,0,1,0,0,0",5
205,RiME,4.0,4,695,702,348,1682,78,3165,Adventure,"0,0,1,0,0,1,0",5
210,Titan Quest,5.0,4,444,445,529,5668,66,3138,Action,"0,0,0,1,1,0,0",5
212,Alpha Protocol,4.0,4,379,380,621,4286,72,3117,Shooter,"0,1,0,1,1,0,0",4
215,Surgeon Simulator,4.0,4,435,436,316,3180,71,3084,Educational,"0,0,0,1,0,0,0",4
220,Styx: Master of Shadows,4.0,3,335,337,695,2644,71,3039,Action,"0,0,0,1,1,0,0",4
229,Nioh,5.0,4,552,552,639,1789,88,3020,Action,"0,0,0,1,1,0,0",5
231,The Banner Saga,5.0,4,594,598,514,2909,79,3018,Strategy,"0,0,0,0,1,0,1",5
235,Tropico 5,4.0,4,451,451,515,2781,75,2989,Strategy,"0,0,0,0,1,0,1",4
240,Dungeons 2,3.0,4,227,227,558,2445,70,2976,Strategy,"0,0,0,0,1,0,1",4
242,Hitman: Codename 47,5.0,4,450,453,468,7713,73,2974,Shooter,"0,1,0,1,0,0,0",5
245,Trove,3.0,3,341,342,409,2368,65,2948,Casual,"0,0,0,1,1,0,0",4
246,Bulletstorm,5.0,4,692,693,693,3966,83,2940,Shooter,"0,1,0,1,0,0,0",5
251,Need for Speed,4.0,3,644,648,388,2251,66,2907,Racing,"1,0,1,1,0,0,0",4
255,Risk of Rain,5.0,4,401,404,224,2977,77,2876,Platformer,"0,0,0,1,0,0,0",5
258,Overwatch,5.0,5,870,888,559,2048,91,2865,Casual,"0,1,0,1,0,0,0",5
261,Loadout,3.0,3,350,350,677,2913,72,2860,Indie,"0,0,0,1,0,0,0",4
264,Unravel,5.0,4,619,621,457,2153,78,2840,Adventure,"0,0,1,1,0,1,0",5
268,Warhammer: End Times - Vermintide,4.0,4,355,359,663,2262,79,2836,Indie,"0,0,0,1,0,0,0",5
272,Elite Dangerous,5.0,4,368,372,507,2466,80,2790,Adventure,"0,0,1,1,1,0,0",5
277,Dirty Bomb,3.0,3,313,314,680,2406,63,2769,Shooter,"0,1,0,1,0,0,0",4
282,Thief Gold,5.0,5,201,202,428,8100,92,2749,Action,"0,0,0,1,0,0,0",5
283,Plants vs. Zombies GOTY Edition,5.0,4,517,520,271,4162,87,2746,Strategy,"0,0,0,0,0,0,1",5
291,Call of Duty: Modern Warfare (2019),5.0,4,454,469,519,799,80,2725,Shooter,"0,1,0,1,0,0,0",5
294,Risen 2: Dark Waters,4.0,4,312,315,681,3540,69,2709,Action,"0,0,0,1,1,0,0",4
300,Anomaly: Warzone Earth,3.0,4,189,189,525,3922,80,2700,Strategy,"0,0,0,1,0,0,1",4
303,This is the Police,5.0,4,539,542,259,1979,66,2695,Indie,"0,0,1,0,0,0,1",4
304,The Evil Within 2,5.0,4,610,614,467,1543,82,2694,Shooter,"0,1,1,1,0,0,0",5
306,South Park: The Fractured But Whole,5.0,4,633,639,217,1737,80,2691,Adventure,"0,0,1,0,1,0,0",5
308,Tom Clancy's Splinter Cell: Conviction,5.0,4,538,539,574,4281,83,2687,Adventure,"0,0,1,1,0,0,0",5
309,Gears of War,5.0,4,682,686,663,5533,90,2685,Shooter,"0,1,0,1,0,0,0",5
312,Kane & Lynch 2: Dog Days,4.0,4,394,396,568,4155,66,2674,Shooter,"0,1,0,1,0,0,0",4
313,Hellblade: Senua's Sacrifice VR Edition,4.0,5,194,195,508,1250,87,2671,Indie,"0,0,1,1,0,0,0",5
316,Cortex Command,3.0,1,217,217,464,3382,44,2652,Strategy,"0,0,0,1,0,0,1",3
317,Fable III,4.0,4,560,563,672,4086,78,2648,Action,"0,0,0,1,1,0,0",5
318,The Incredible Adventures of Van Helsing,4.0,4,260,260,658,3146,72,2645,Indie,"0,0,0,1,1,0,0",4
319,Aegis Defenders,3.0,3,76,77,300,1424,75,2627,Adventure,"0,0,1,1,1,0,1",4
320,Day of the Tentacle Remastered,4.0,4,328,332,276,2112,86,2622,Family,"0,0,1,0,0,0,0",5
321,My Friend Pedro,5.0,4,544,548,169,927,76,2619,Shooter,"0,1,1,1,0,0,0",4
322,Plague Inc: Evolved,5.0,4,457,461,298,2297,80,2611,Casual,"0,0,0,0,0,0,1",5
324,Game Dev Tycoon,5.0,4,586,589,135,3309,68,2607,Casual,"0,0,0,0,0,0,1",4
326,Dungeon Defenders,4.0,4,256,257,547,4034,81,2594,Strategy,"0,0,0,1,1,0,1",5
327,"Warhammer 40,000: Dawn of War II",5.0,4,307,310,741,4700,85,2581,Strategy,"0,0,0,0,1,0,1",5
337,SUPERHOT: MIND CONTROL DELETE,5.0,4,226,234,204,535,79,2558,Indie,"0,0,0,1,0,0,0",5
341,Red Faction Guerrilla Re-Mars-tered,4.0,4,223,224,557,1279,70,2547,Shooter,"0,1,0,1,0,0,0",4
342,Fallout 76,3.0,1,471,478,398,1144,51,2537,Adventure,"0,0,1,1,1,0,0",3
351,Tom Clancy’s The Division 2,5.0,4,633,639,642,1023,83,2503,Shooter,"0,1,1,1,1,0,0",5
352,Star Wars: Republic Commando,5.0,4,389,395,643,6150,78,2503,Shooter,"0,1,0,1,0,0,0",5
353,Condemned: Criminal Origins,5.0,4,341,341,226,5891,80,2498,Action,"0,0,0,1,0,0,0",5
356,Prince of Persia: The Sands of Time,5.0,4,700,707,594,6640,89,2487,Adventure,"0,0,1,1,0,0,0",5
361,Divinity II: Developer's Cut,4.0,4,187,188,735,3351,77,2470,Action,"0,0,0,1,1,0,0",4
367,Serious Sam 2,4.0,4,345,348,598,5926,74,2458,Indie,"0,0,0,1,0,0,0",5
368,Far Cry,5.0,4,616,623,540,6494,89,2449,Shooter,"0,1,0,1,0,0,0",5
372,Kane and Lynch: Dead Men,4.0,4,369,372,512,5163,67,2446,Shooter,"0,1,0,1,0,0,0",4
375,Killzone Shadow Fall,4.0,3,469,471,460,2969,73,2424,Shooter,"0,1,0,0,0,0,0",4
