,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.7876,0.1782,0.6224,0.7868,0.783,0.6098,0.6139,0.3
rf,Random Forest Classifier,0.7829,0.1767,0.512,0.7777,0.7742,0.5946,0.6004,0.059
lightgbm,Light Gradient Boosting Machine,0.7768,0.1774,0.5403,0.7726,0.7723,0.5927,0.5946,0.061
et,Extra Trees Classifier,0.7607,0.1735,0.542,0.7544,0.7532,0.5583,0.5627,0.056
ada,Ada Boost Classifier,0.7555,0.1328,0.4984,0.7724,0.7344,0.5333,0.5714,0.028
lda,Linear Discriminant Analysis,0.7512,0.1726,0.4958,0.759,0.7479,0.5422,0.5491,0.008
dt,Decision Tree Classifier,0.719,0.1453,0.5427,0.7202,0.7186,0.4992,0.4996,0.005
ridge,Ridge Classifier,0.7167,0.0,0.4267,0.7109,0.6944,0.4523,0.471,0.004
lr,Logistic Regression,0.693,0.1624,0.4655,0.686,0.6744,0.4126,0.4252,0.471
svm,SVM - Linear Kernel,0.5805,0.0,0.3282,0.5987,0.5509,0.2413,0.2718,0.013
knn,K Neighbors Classifier,0.5658,0.135,0.3075,0.5531,0.5581,0.2064,0.2072,0.2
nb,Naive Bayes,0.483,0.1398,0.5098,0.6263,0.5195,0.2305,0.25,0.005
qda,Quadratic Discriminant Analysis,0.2712,0.0,0.2175,0.3328,0.2485,0.0068,0.0093,0.007
