,name,rating,rating_top,ratings_count,reviews_count,suggestions_count,days,metacritic,added,genre,genres,Label
10,Life is Strange,4.0,5,2965,2994,532,2529,83,12031,Adventure,"0,0,1,0,0,0,0",4
11,Red Dead Redemption 2,5.0,5,3718,3791,616,1163,96,11349,Adventure,"0,0,1,1,0,0,0",4
14,Limbo,4.0,4,2658,2688,187,4182,88,10849,Indie,"0,0,1,0,0,1,0",4
20,Grand Theft Auto IV,4.0,4,2294,2309,497,4995,95,9819,Adventure,"0,0,1,1,0,0,0",4
22,Horizon Zero Dawn,4.0,5,2955,2998,634,1768,89,9742,Adventure,"0,0,1,1,1,0,0",4
25,Metro 2033,4.0,4,1716,1720,588,4309,79,9373,Shooter,"0,1,0,1,0,0,0",4
26,Metal Gear Solid V: The Phantom Pain,4.0,5,2073,2085,511,2314,91,9339,Shooter,"0,1,0,1,0,0,0",4
29,The Walking Dead: Season 1,4.0,5,1930,1942,638,3540,92,9115,Adventure,"0,0,1,0,0,0,0",4
31,Batman: Arkham Knight,4.0,4,2052,2066,659,2385,81,8750,Action,"0,0,0,1,0,0,0",4
32,The Witcher 2: Assassins of Kings Enhanced Edition,4.0,4,1681,1690,690,3547,88,8734,RPG,"0,0,0,0,1,0,0",4
34,Hitman,4.0,4,1628,1633,564,2122,83,8502,Shooter,"0,1,0,1,0,0,0",4
40,Uncharted: The Lost Legacy,4.0,4,1057,1069,439,1593,85,3708,Adventure,"0,0,1,1,0,0,0",4
41,F.E.A.R. 2: Project Origin,4.0,4,524,528,601,4708,79,3698,Shooter,"0,1,0,1,0,0,0",4
46,STAR WARS Battlefront 2 (2005),4.0,4,654,660,522,5907,78,3649,Shooter,"0,1,0,1,0,0,0",4
50,Rage,3.0,4,661,667,697,3743,79,3627,Racing,"1,1,0,1,0,0,0",4
52,World of Goo,4.0,4,657,659,154,4828,90,3621,Educational,"0,0,0,0,0,1,1",4
56,Machinarium,4.0,4,682,686,516,4460,85,3598,Family,"0,0,1,0,0,1,0",4
